p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CEACAM6	3.82436704796444e-78	3.02385946418895	0.853	0.044	7.22040498655686e-74
LINC01088	9.31996764130446e-76	1.62148837674627	0.755	0	1.75960989067828e-71
CFH	7.78469620263848e-71	1.26639341792371	0.713	0	1.46975064305814e-66
LYZ	7.04064979666661e-67	-4.08221814230672	0.993	1	1.32927468161066e-62
UCA1	1.91403756867308e-63	1.89361175644182	0.72	0.031	3.61370292965478e-59
MUC4	2.88775300075857e-63	1.92396468795021	0.832	0.111	5.45207766543218e-59
XIST	3.01826181579752e-61	-2.10798227948211	0.091	0.944	5.69847830822571e-57
MUC5B	2.77414847268073e-60	3.00608732987892	0.965	0.386	5.23759231642122e-56
MSLN	5.8954308860526e-60	1.36975080242703	0.72	0.044	1.11305735128673e-55
BPIFB1	2.51223035141832e-58	3.85874851894221	0.979	0.619	4.74309090347778e-54
CLDN18	2.62872776563705e-53	-1.76759352616972	0.909	1	4.96303802152276e-49
SLPI	5.4215450008502e-53	2.10190940284224	0.986	0.819	1.02358769616052e-48
TGM2	2.24269877876856e-52	1.76748336138984	0.769	0.125	4.23421529431504e-48
TAGLN2	3.0383122405544e-49	-1.48532419548108	0.881	0.994	5.73633351016671e-45
BCAT1	7.81343606130385e-49	1.30373228274711	0.524	0.003	1.47517672837417e-44
MDK	5.19243937001531e-48	1.81915044632448	0.979	0.619	9.80332553058891e-44
RPS6	2.63471007013623e-46	1.11118207894843	1	1	4.9743326124172e-42
RPS4X	5.57582941051674e-46	-1.11249082498419	1	1	1.05271659270556e-41
RARRES3	1.82331430707224e-45	2.29488666077628	0.951	0.489	3.4424174117524e-41
DHRS9	3.67883820056158e-45	1.1892735581622	0.49	0.003	6.94564652266026e-41
CST3	3.91558093983061e-45	-0.949058764823858	1	1	7.39261681440018e-41
TFF1	5.22876607265412e-45	-2.42572419018398	0.951	0.992	9.87191034517097e-41
NUPR1	5.80861276296689e-45	2.2402102191076	0.783	0.161	1.09666608964815e-40
LYPD2	1.14038606633959e-44	2.16473495404303	0.51	0.011	2.15304889324914e-40
CYP3A5	5.08821717078034e-44	-1.55751869918316	0.294	0.908	9.60655401843328e-40
TUBB4B	5.64446701582649e-44	-1.41273135249454	0.748	0.978	1.06567537258804e-39
