p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FBP2	3.90585946757522e-137	-0.642975709477042	0.039	0.433	7.37426267478201e-133
APBB1IP	6.53610084659202e-128	-0.539683138020303	0.027	0.364	1.23401583983657e-123
DGKD	2.49670621159137e-111	-0.783301931204235	0.115	0.607	4.71378132748451e-107
RPL39	3.11991229084384e-104	0.939211107955898	1	0.996	5.89039440511317e-100
IGFBP2	8.30884828658477e-99	-1.62492232103116	0.635	0.975	1.56871055650721e-94
MDK	5.81348378113668e-96	1.91944865025423	0.855	0.255	1.09758573787861e-91
LCN2	1.08985428029135e-95	2.26427598216342	0.998	0.975	2.05764488119006e-91
IFITM3	1.21515534492331e-94	1.9690858521631	0.963	0.785	2.29421329121521e-90
DSP	9.54637429720673e-93	-1.33280480604226	0.618	0.945	1.80235546731263e-88
SLC25A6	1.48538821281135e-91	-1.09754595757938	0.948	1	2.80441294578784e-87
FAU	4.15410507105608e-90	0.869902023458455	1	1	7.84295037415388e-86
MT-ND1	2.19911062938107e-89	-1.29182328576369	0.999	1	4.15192086827146e-85
RFLNA	1.17035505664187e-87	-0.936651809475533	0.227	0.735	2.20963034693986e-83
MT1G	3.05942965526719e-87	-0.777441134674712	0.071	0.447	5.77620318914445e-83
RPL34	3.27208320688283e-87	0.978658540941375	1	1	6.17769309459479e-83
SMIM24	9.06729395142932e-87	-1.0336678300737	0.231	0.724	1.71190509802986e-82
FMOD	1.14883470374428e-83	-0.477693500285477	0.031	0.298	2.1689999206692e-79
RPS13	5.59479174539118e-83	0.968365176067969	1	1	1.05629668152986e-78
RRBP1	5.07497503955356e-82	-1.15465020667329	0.834	0.978	9.58155287467711e-78
CYP2S1	1.20604849159832e-81	-0.715338748078665	0.152	0.596	2.27701955213762e-77
RSL24D1	2.93593212582808e-81	1.14669767107621	0.961	0.687	5.54303985356342e-77
SELENOW	6.45173663383018e-81	1.11146864313656	0.984	0.84	1.21808787646714e-76
TMEM258	1.21119630124216e-80	0.971121233506175	0.996	0.909	2.2867386167452e-76
PGC	2.20717385816891e-80	-1.90314934075948	0.182	0.64	4.16714424422291e-76
S100A11	4.94135970681976e-79	1.0286329927016	1	1	9.3292871264757e-75
ARF4	3.23879073297315e-77	1.1557172577042	0.895	0.495	6.11483690385332e-73
GOLGA8A	2.38009801477953e-76	-0.625089335166927	0.06	0.378	4.49362505190376e-72
TM4SF5	2.65463172277613e-74	-0.94350306548006	0.28	0.753	5.01194469260133e-70
ID1	3.81808739384052e-73	2.32066907018645	0.746	0.185	7.2085489995709e-69
CES2	5.93476074885777e-72	-0.905437668974099	0.194	0.633	1.12048282938435e-67
TM4SF1	7.19864723605063e-72	1.36293546717034	0.977	0.844	1.35910459816636e-67
H2AFZ	8.74054100307497e-72	1.1859937831272	0.933	0.52	1.65021414138056e-67
PLAC8	1.56495413683655e-71	1.77275020134712	0.827	0.411	2.95463341034741e-67
RPL32	1.85006481650587e-71	0.806987169050033	1	1	3.49292237356307e-67
ZFAS1	2.45784872381951e-71	1.11450919425283	0.991	0.938	4.64041839057124e-67
CLDN18	1.05864087682996e-70	-1.25290760136586	0.832	1	1.99871397545497e-66
C4orf3	2.15623672252108e-70	1.15536681257676	0.842	0.389	4.07097493211981e-66
SPTBN1	1.92979362203322e-69	-1.10773204100406	0.791	0.982	3.64345035839871e-65
RPL29	3.53529160950542e-69	0.800485450662056	1	1	6.67463055874623e-65
SLPI	4.33641325877412e-69	1.61552640709572	0.971	0.924	8.18714823256554e-65
GATA6-AS1	3.68100599238907e-68	-0.816802052294425	0.26	0.716	6.94973931363056e-64
CAPN9	4.14837146839223e-68	-0.49518333804075	0.097	0.455	7.83212533232453e-64
MUC5B	5.98175258123386e-68	2.19429527073014	0.759	0.229	1.12935488733695e-63
MT1E	1.14243343597195e-67	-1.21565296851097	0.423	0.833	2.15691432711505e-63
COX7A2L	3.08679362210603e-67	0.988850448952052	0.946	0.709	5.82786635853618e-63
BSG	5.0581982035417e-67	-0.761979882124677	0.95	1	9.54987820828674e-63
POU2AF1	3.87912768155289e-66	-0.329693601731939	0.03	0.258	7.32379306277186e-62
SUMO2	3.18735584783276e-65	0.867798821613821	0.994	0.924	6.01772784070825e-61
SUMO1	3.79212029092553e-65	0.912024023024999	0.957	0.789	7.1595231092674e-61
DYNLT1	6.46286829429585e-65	0.975369123731972	0.957	0.716	1.22018953396306e-60
SEC61G	1.96394762245748e-64	0.966980955783764	0.995	0.913	3.70793311119971e-60
RPS27L	3.13631755920278e-64	0.877889019914305	0.993	0.905	5.92136755177484e-60
FADS2	4.61464153036735e-64	-0.796855758775421	0.133	0.502	8.71244320933357e-60
WFDC2	4.6643169863129e-64	3.58569728663497	0.675	0.16	8.80623047015875e-60
ATF3	6.11697625023e-64	1.53095079084704	0.762	0.247	1.15488511604342e-59
TLN2	1.05542739629861e-63	-0.486865474792223	0.099	0.444	1.99264692421177e-59
WASF2	3.99194285522541e-63	-0.815366496034739	0.576	0.898	7.53678811066558e-59
SLC9A4	1.24097698845787e-62	-0.623746454045412	0.167	0.571	2.34296455420845e-58
CD55	1.96392308021828e-62	1.50572051895911	0.662	0.127	3.70788677545211e-58
IL33	3.63759490959183e-62	-0.439495782497268	0.036	0.273	6.86777918930937e-58
CTSE	5.43487231635433e-62	-1.00381227160072	0.648	0.956	1.0261038933277e-57
CA9	8.06224136374917e-62	-1.07688077822206	0.418	0.815	1.52215116947584e-57
EIF1	2.39108479364813e-61	0.776897862894648	1	1	4.51436809040767e-57
ARGLU1	1.03602402184136e-60	-1.20745259128606	0.827	0.953	1.9560133532365e-56
TFCP2L1	1.38276369591089e-60	-0.4414982622641	0.063	0.349	2.61065785787976e-56
TRIM73	2.58195244040563e-60	-0.439273540079146	0.059	0.335	4.87472620748582e-56
ABCC3	4.69428699570616e-59	-0.973465150732863	0.542	0.895	8.86281384789323e-55
BPIFB1	5.3645105856259e-59	2.97063961988546	0.868	0.567	1.01281959856617e-54
VPS4B	5.83060582392233e-59	-0.714261355422932	0.31	0.724	1.10081837955654e-54
ANXA1	1.14819555000998e-58	1.59834726959404	0.842	0.465	2.16779319841884e-54
AADAC	2.46482466078875e-58	-0.731510188651768	0.143	0.516	4.65358895956915e-54
LLGL2	2.66155034570522e-58	-0.836357363222795	0.626	0.92	5.02500705269145e-54
CD24	2.89540900463745e-58	1.00515980226474	0.986	0.898	5.4665322007555e-54
SPCS1	4.76239121432254e-58	0.880694702361523	0.932	0.691	8.99139461264096e-54
CEBPB	3.24902570803971e-57	1.01382833496342	0.728	0.251	6.13416053677897e-53
HDLBP	4.7378288312884e-57	-0.758254943616445	0.754	0.982	8.9450208334725e-53
AGR3	1.0255580165178e-56	0.952923306941502	0.982	0.887	1.93625353518561e-52
OSTC	1.25365986153722e-55	0.957160021189171	0.913	0.64	2.36690981858228e-51
CAPN6	1.7059235605091e-54	-0.261380450892604	0.02	0.196	3.22078368224119e-50
CEACAM6	2.87860723365247e-54	2.57738150408655	0.607	0.12	5.43481045713587e-50
MT-ND5	4.16451859918847e-54	-0.944185163060442	0.994	1	7.86261111526783e-50
MT-CO3	6.06788344234977e-54	-0.867539352303079	1	1	1.14561639391564e-49
FBLIM1	7.66158666399292e-54	-0.759852142790903	0.358	0.756	1.44650756216186e-49
CCDC68	7.72650653737698e-54	-0.689341483160576	0.244	0.64	1.45876443425677e-49
B2M	9.03776660020745e-54	0.847994863577701	1	1	1.70633033411917e-49
REG1A	3.17027359803913e-53	-1.02328633610183	0.113	0.44	5.98547655309788e-49
CLU	3.43673023109221e-53	1.54757638240134	0.763	0.36	6.4885466763021e-49
EIF3E	4.66746671745844e-53	0.839898787828693	0.97	0.796	8.81217716256154e-49
F5	8.86739262928692e-53	-0.585709813990784	0.141	0.491	1.67416372840937e-48
