p_val	avg_log2FC	pct.1	pct.2	p_val_adj
S100A4	0	2.49284219109387	0.982	0.55	0
MUC1	0	-1.61237016780974	0.298	0.851	0
PIGR	0	-1.90357186659757	0.34	0.902	0
RPL37A	0	0.955407915424322	1	1	0
MTRNR2L12	0	1.7209518217545	0.807	0.011	0
PDLIM4	0	-1.49104896957149	0.166	0.812	0
HLA-B	0	-1.72808442732128	0.718	0.992	0
RPS10	0	-1.74055475065265	0.817	0.994	0
AGR2	0	-1.30937020481954	0.955	0.994	0
TMSB4X	0	-1.1471207198793	0.968	0.998	0
RPL36A	0	-1.17535482868993	0.647	0.959	0
RPS20	0	1.40182783086778	0.999	0.877	0
RPL27A	0	1.15156454893153	1	0.997	0
MTRNR2L8	0	1.59688774727651	0.773	0	0
GSTP1	0	-1.12715362348976	0.981	0.999	0
RPS25	0	0.929357999865034	1	0.999	0
GPRC5A	0	1.5158536190794	0.904	0.477	0
MGST1	0	1.69886795352925	0.959	0.685	0
LYZ	0	-2.6798228891034	0.997	1	0
RPL21	0	1.18203636292575	1	0.998	0
OLFM4	0	-2.09393292744764	0.234	0.809	0
SERPINA1	0	-3.07256043525349	0.219	0.942	0
B2M	0	-1.03500833013595	0.999	1	0
H3F3B	0	-0.917404623289482	0.983	1	0
ONECUT2	0	-1.12826668270391	0.057	0.683	0
CST3	0	-1.04469072346179	0.928	0.997	0
ZFAS1	0	1.29646106787336	0.999	0.992	0
RPL13A	0	1.46414548636179	1	0.997	0
RPS11	0	1.17604126427285	1	0.995	0
TST	0	-1.4221808996316	0.666	0.949	0
FAM3B	0	-1.26249766048956	0.255	0.849	0
MT-ND4	0	1.07465909514829	1	1	0
RPL23	6.60697801055792e-305	1.08023893805248	0.999	0.984	1.1416197304443e-300
TIMP1	1.22813950580462e-293	-1.11690965112627	0.856	0.987	2.1221022520798e-289
RPL7	8.40027524162634e-292	0.810586941290872	1	0.997	1.45148355900061e-287
RPL29	4.08849956170546e-290	-0.748238677363986	1	1	7.06451839267086e-286
TSPAN1	4.50863822771753e-276	-1.09296113812779	0.661	0.949	7.79047599367312e-272
TMA7	1.185454759447e-271	-0.963719179617326	0.64	0.957	2.04834727884847e-267
ITM2C	1.99557362981654e-271	-1.01904840971266	0.231	0.782	3.44815167495999e-267
LY6E	3.53382524686052e-265	-1.11822517425089	0.721	0.97	6.1060966440503e-261
CD59	9.12900604687454e-265	-1.12292071677663	0.397	0.862	1.57740095483945e-260
MT-CO3	8.86680545314691e-263	0.661601995549986	1	1	1.53209531424926e-258
ANXA10	1.03382224652561e-261	-1.44544092941383	0.576	0.889	1.7863414597716e-257
ANXA1	1.3925012515568e-258	1.32307403919263	0.906	0.563	2.40610291256499e-254
RPS15	1.10258533843098e-256	-0.685225258588305	1	1	1.90515720627489e-252
TUBB4B	2.80086039934428e-255	-1.22443741348006	0.594	0.917	4.83960668402698e-251
TFF2	5.71979755808615e-241	-3.13703138099239	0.829	0.943	9.88323820061707e-237
BSG	6.35070271752927e-238	-0.949718456997608	0.623	0.921	1.09733792256188e-233
RPS16	8.78580095498727e-235	0.631759440958549	1	1	1.51809854701225e-230
AQP5	1.46814388074608e-232	-1.68157394680237	0.392	0.809	2.53680581154114e-228
ANXA5	8.74558994806815e-231	-0.949034547105425	0.504	0.888	1.5111504871267e-226
NDUFA13	3.78779047084096e-226	-0.860709140811714	0.248	0.755	6.5449231545661e-222
LGALS3BP	1.23787469027733e-225	-0.860902017443105	0.738	0.96	2.13892367733019e-221
BIRC3	3.29866753733249e-225	1.12034883560181	0.564	0.114	5.6997676377568e-221
ANXA4	3.00447860530614e-223	-1.04348850848621	0.92	0.973	5.19143858210849e-219
LCN2	1.12906307207985e-221	-1.7275837511827	0.701	0.93	1.95090808224677e-217
ATP5F1D	1.01238271116224e-220	-0.824779620733635	0.794	0.958	1.74929608661723e-216
UQCR11	1.38848544426813e-220	-0.891750743682137	0.488	0.872	2.39916399915089e-216
LINC01133	3.56735032914492e-220	-0.888119982165864	0.082	0.587	6.16402463372951e-216
TFF1	5.44011251143673e-214	-2.30728201835017	0.862	0.952	9.39997040851152e-210
MUC5AC	4.71738572356961e-213	-1.12168640421733	0.011	0.471	8.15117079175594e-209
TAGLN2	1.29620939285902e-209	-0.843020256855054	0.886	0.978	2.2397202099211e-205
FUT3	8.32923639188364e-209	-0.755714476575328	0.077	0.562	1.43920875615357e-204
RPL26	1.74776846891475e-208	-0.628769361595183	1	1	3.01996913743779e-204
SLC1A5	2.43336552817276e-205	-0.878574271015449	0.221	0.704	4.20461229612971e-201
ECM1	8.45356935236852e-205	1.10652552915866	0.495	0.083	1.46069224839576e-200
RPL9	8.59853353647986e-204	0.57708406266303	1	1	1.48574060976836e-199
TWF2	5.84939888293488e-203	-0.778699162212899	0.171	0.655	1.01071763298232e-198
IFITM3	6.20731906671902e-203	-0.996206914552731	0.37	0.827	1.07256266153838e-198
ARPC1B	1.44916237691683e-202	-0.854100009888721	0.322	0.774	2.50400767107459e-198
COX4I1	2.64814829093976e-202	0.724041532522137	0.999	0.993	4.57573543191481e-198
MT-ND3	1.76352455525964e-201	0.631314245968286	1	1	3.04719407903314e-197
QSOX1	6.44165299152911e-201	-0.990415188636456	0.348	0.802	1.11305322040632e-196
EIF4A2	4.46609310133337e-200	1.03151270821703	0.976	0.834	7.71696226979393e-196
MARCKSL1	1.23098956648391e-197	-0.776179350245785	0.878	0.977	2.12702687192754e-193
DPYSL2	1.34750590825996e-197	-0.914340585243235	0.183	0.66	2.32835545888239e-193
S100A14	6.76733147593701e-197	-0.75217425148177	0.981	0.998	1.16932720572716e-192
REG4	1.70037978370374e-195	-2.88109154856705	0.204	0.616	2.93808622826169e-191
ADIRF	4.04881818026941e-195	-0.973994830742507	0.743	0.963	6.99595293368751e-191
YBX3	3.81949380304152e-194	1.0407309758928	0.888	0.708	6.59970334227545e-190
XRCC4	1.13180407410192e-193	-0.818199662737048	0.102	0.562	1.9556442596407e-189
GCNT3	2.42204156019465e-189	-0.936230173923327	0.314	0.76	4.18504561186034e-185
MINOS1	2.18888364092304e-187	-0.80434605746738	0.374	0.79	3.78217204315092e-183
GAS6	9.85458767246327e-187	-0.824978195368109	0.171	0.63	1.70277420392493e-182
GOLM1	1.16366925657374e-184	-0.830350921557219	0.291	0.732	2.01070410843377e-180
HIST1H4C	9.80840022230853e-184	-0.812530912650355	0.325	0.771	1.69479347441269e-179
RPL39	2.01837294672607e-183	0.452893649541494	1	1	3.48754661464797e-179
CD99	4.18168047743815e-183	-0.774791297420938	0.272	0.753	7.22552569696539e-179
TSTA3	2.37302612676185e-181	-0.767262697511822	0.142	0.59	4.1003518444318e-177
MGLL	4.6825045437196e-181	-0.893234871956968	0.396	0.795	8.0908996010931e-177
H1F0	1.69425750708665e-180	-0.757833744499225	0.19	0.653	2.92750754649502e-176
EMP2	5.42476713540203e-180	-0.849439356182599	0.388	0.792	9.37345513326117e-176
TFF3	2.98880357679409e-178	-1.32225295473047	0.976	0.989	5.16435370034251e-174
SMIM24	6.19413875135524e-178	-0.703035564155213	0.011	0.413	1.07028523484667e-173
UCA1	9.95859809189976e-178	1.36804936066571	0.721	0.379	1.72074616429936e-173
SFN	4.4174423767636e-176	-0.883890187704729	0.328	0.748	7.63289868280982e-172
CIRBP	1.88770817012235e-175	-0.792472965822916	0.535	0.873	3.26177094715441e-171
CTSE	8.2697707688726e-175	-0.881875787310764	0.565	0.868	1.4289336911535e-170
NDUFA11	1.31475169286231e-174	-0.762062419634039	0.3	0.736	2.27175945009679e-170
CD74	1.5113273232703e-174	-0.863018902615876	0.095	0.545	2.61142248187875e-170
EML4	2.1060537302064e-174	-0.698996649264043	0.176	0.628	3.63905024042363e-170
LINC01559	1.12228452599905e-171	0.860198402572208	0.421	0.063	1.93919543247376e-167
HLA-C	8.21778305888706e-171	-0.717735201557675	0.883	0.989	1.4199507347451e-166
SLC25A3	6.25523012146522e-169	0.674197029756791	0.989	0.934	1.08084121268797e-164
KLK11	6.61232659741241e-168	-0.839555568417059	0.233	0.667	1.14254391276689e-163
TMEM123	1.04593901083692e-167	0.903338599627766	0.845	0.577	1.80727801682511e-163
TSPAN3	2.42811895303314e-166	-0.725217638328689	0.69	0.927	4.19554673894597e-162
TRIM54	9.69657620694967e-166	-0.606756271005049	0.012	0.393	1.67547140279883e-161
FKBP1B	9.90210543814306e-166	-0.600297335509163	0.042	0.442	1.71098479865674e-161
BEX3	1.75677075862255e-164	-0.661181662477115	0.115	0.548	3.03552419382391e-160
IQGAP2	8.00540555901485e-164	-0.734263734516275	0.244	0.677	1.38325402654218e-159
RPL13	4.64965220466092e-163	0.469855751404477	0.999	1	8.0341340444336e-159
HERPUD1	5.25962427942362e-163	-0.815111561587259	0.515	0.855	9.08810479241607e-159
MT-ND2	2.12052717114468e-162	0.528373058731622	1	1	3.6640588990209e-158
KLK6	4.30345245295526e-159	1.03796912886008	0.73	0.398	7.4359354934614e-155
NR0B2	1.45990477635791e-157	-0.730649366872618	0.046	0.433	2.52256946306883e-153
SNHG25	4.25451131487237e-157	-0.572164624859942	0.034	0.414	7.35137010096797e-153
TXNIP	2.80238245575271e-156	-0.692346990733911	0.67	0.941	4.84223664529511e-152
MALAT1	5.23019800333694e-156	-0.604193826539354	1	0.998	9.0372591299659e-152
NMU	6.50828757494191e-156	0.655781979977393	0.36	0.038	1.12456701007421e-151
ID1	6.96785504781365e-156	1.08868452657376	0.846	0.577	1.20397567371172e-151
ATP5MG	4.73027270072568e-155	0.618737468282496	0.99	0.952	8.1734381995839e-151
PSAT1	2.31394477168271e-154	-0.71796499409337	0.137	0.554	3.99826517099055e-150
SOD3	6.51287856941436e-154	-0.797968828609639	0.013	0.373	1.12536028800911e-149
SOX4	8.3492803861042e-154	1.0932333530044	0.713	0.388	1.44267215791495e-149
TM4SF5	1.15045429588346e-153	-0.668523433056975	0.086	0.494	1.98786997785703e-149
SQSTM1	1.28903903871704e-153	1.04924081867973	0.84	0.626	2.22733055499917e-149
MT-CO1	1.64699091582686e-153	-0.420890091855987	1	1	2.84583560345723e-149
SMIM14	9.87217602543111e-152	1.00019255806887	0.735	0.463	1.70581329543424e-147
PSMA7	2.10663084149176e-150	0.77010904124983	0.94	0.828	3.64004743101361e-146
RPLP2	5.59346004860468e-149	0.834649631710153	1	1	9.66493961798402e-145
KLK1	1.01202935577829e-148	-0.686223367578297	0.111	0.514	1.7486855238493e-144
SERF2	1.08157450271473e-148	-0.496346576743279	0.995	0.999	1.86885258324078e-144
SYTL1	1.4492597027608e-148	-0.634130158464871	0.109	0.505	2.50417584040039e-144
ALDH2	4.70741908341205e-148	-0.791592026873563	0.502	0.811	8.13394943422769e-144
NPDC1	1.36850218565781e-147	-0.611498369526138	0.111	0.514	2.36463492659814e-143
FUCA2	1.52447135952239e-147	-0.637137176220296	0.162	0.569	2.63413406211874e-143
MANF	1.59047937144433e-147	-0.713424545884272	0.247	0.662	2.74818930591866e-143
CYP3A5	1.62770549711731e-147	-0.766896329784567	0.325	0.711	2.81251232846899e-143
ID3	3.44134366704799e-147	0.761508471404004	0.337	0.036	5.94629772229222e-143
PRR15L	1.17961746460686e-146	-0.69639144600011	0.197	0.607	2.03826101709419e-142
GRN	1.86645972117893e-146	-0.692611129349822	0.466	0.816	3.22505575222508e-142
SAT1	2.48034398562217e-146	0.870674445988309	0.99	0.967	4.28578637275656e-142
PLLP	1.58956307417943e-145	-0.641383458107037	0.175	0.578	2.74660603587464e-141
