p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PGC	5.10725212241069e-300	-4.40568367916741	0.092	0.921	9.64249200711138e-296
BPIFB1	5.78483260057775e-232	5.07533570979815	0.998	0.724	1.09217639498908e-227
GSTA1	1.36634287903776e-215	3.30783849668485	0.989	0.493	2.57965535562329e-211
ALDH1A1	1.70721658154413e-207	2.18192476797792	0.99	0.537	3.22322490595531e-203
LYZ	2.3715804113456e-202	-2.25074049625164	1	1	4.47754381662049e-198
S100A11	7.72927193876329e-200	1.75598631622539	1	0.947	1.45928654203851e-195
LMAN1	1.00987069805365e-186	-1.95327497715083	0.626	0.985	1.90663587792529e-182
CXCL17	6.71200333573641e-184	2.15013418354143	0.988	0.749	1.26722622978703e-179
TSPAN1	2.27667355076022e-180	1.64490972279053	0.997	0.788	4.29835966383529e-176
SLPI	3.36963585572841e-178	2.43085199374533	0.993	0.8	6.36187249561523e-174
MUC5B	1.31039643168205e-174	2.76200668124793	0.916	0.321	2.47402846301572e-170
NDUFA4L2	2.20104839714251e-169	-2.23731235306713	0.022	0.527	4.15557937380507e-165
GSTP1	5.43440622463531e-168	1.22494706310908	1	1	1.02601589521115e-163
MT-ND3	1.82335662518648e-164	1.7239441215698	1	0.975	3.44249730835207e-160
MGST1	5.87832702861979e-161	1.54058516271576	0.984	0.73	1.10982814300342e-156
SERPINA1	4.07732549844853e-156	-2.75909281492094	0.55	0.96	7.69799054107083e-152
STARD10	1.56094078035023e-154	1.25812979522569	0.997	0.945	2.94705619330124e-150
SCAND1	3.42923220932253e-148	1.26937608177494	0.982	0.745	6.47439041120093e-144
NDUFB1	8.39021048578929e-146	1.21916318216068	0.98	0.762	1.58407173971702e-141
HSP90AB1	4.87139996684865e-142	-1.35299291891908	0.994	1	9.19720313741026e-138
DYNLL1	6.68515625476777e-142	1.33910051259274	0.99	0.76	1.26215750090016e-137
SRRM2	6.34570147725166e-141	-1.41395324004778	0.865	0.989	1.19806843890511e-136
PSCA	5.77039822886179e-140	2.09091609667181	0.985	0.783	1.08945118560911e-135
ATP5MG	2.95401978833021e-139	0.917164655976221	0.999	0.992	5.57718936036744e-135
C15orf48	1.06348495295864e-136	2.22041980705021	0.951	0.609	2.00785959118592e-132
IFITM3	3.97504053131495e-136	1.58183793723304	0.987	0.858	7.50487652312263e-132
FSCN1	8.62594384327443e-136	-0.776331401071442	0.024	0.454	1.62857819761021e-131
TM4SF1	8.86520523801018e-135	1.5843211180047	0.988	0.752	1.67375074893632e-130
XBP1	2.92385959328608e-134	1.32771695735236	0.978	0.69	5.52024691212411e-130
EIF6	9.06131876636622e-134	1.30023446567491	0.927	0.512	1.71077698308994e-129
KRT18	1.22144699314629e-132	1.20253298362247	1	0.958	2.30609192306019e-128
TMSB10	9.0517962800074e-132	-1.12928487648948	1	1	1.7089791376654e-127
MT-ATP6	9.40901024598522e-130	1.39569221415088	1	0.983	1.77642113444201e-125
TSPAN8	1.02314952684438e-129	1.20211547217814	0.998	0.955	1.93170630668219e-125
ROMO1	3.4518526383465e-129	1.2196805862101	0.945	0.622	6.51709778119819e-125
GLUL	1.56411166763431e-125	1.40774360308758	0.954	0.686	2.95304282849358e-121
KRT19	4.45360605864778e-125	1.32366291061705	1	0.987	8.408408238727e-121
MAFG	8.62794029983337e-125	-1.23849361545117	0.152	0.656	1.62895512860854e-120
FAU	1.15557235417779e-124	0.690847900275402	1	1	2.18172060468766e-120
YWHAB	6.2334566086709e-122	1.19451874195102	0.935	0.552	1.17687660771707e-117
AGR3	1.580222307718e-120	1.17120867139398	0.991	0.858	2.98345971697159e-116
HLA-A	4.8857596644859e-118	-1.03654948500991	0.993	1	9.22431424654938e-114
HPGD	1.54575857764307e-117	1.8301047371826	0.772	0.21	2.91839219459012e-113
CTSE	1.33871596420949e-116	-1.22239413062494	0.563	0.964	2.52749574042752e-112
RPL39	1.9020162212594e-116	0.796038171907687	1	1	3.59100662573775e-112
CYBA	2.87296741562117e-116	1.06175416693942	0.99	0.887	5.42416248069278e-112
S100A14	1.75615119277131e-113	-1.26362877760914	0.998	1	3.31561345195224e-109
SMIM22	1.7628953771251e-113	1.0405803614202	0.955	0.635	3.3283464720122e-109
RARRES3	1.8760732843705e-112	1.33359189718044	0.911	0.586	3.54202636089151e-108
TRNP1	2.07740546775677e-112	1.2576161026636	0.976	0.682	3.92214152312479e-108
FOS	3.04901789442128e-112	1.55228441018293	0.984	0.811	5.75654578466738e-108
IMPA2	1.80497255895012e-111	1.18842969280577	0.873	0.493	3.40778819129782e-107
MGST2	7.7664319089858e-111	1.05555550806456	0.972	0.811	1.46630234441652e-106
CP	1.32679981864039e-110	1.38548954904507	0.854	0.38	2.50499805759306e-106
ID1	1.35627422997835e-108	1.79695703419809	0.885	0.488	2.56064574619912e-104
VSIG2	2.09177952543055e-108	1.07074397279893	0.98	0.868	3.94927974401287e-104
TMEM176A	4.36493150431616e-108	1.33625690349938	0.852	0.406	8.24099068014891e-104
HSP90B1	6.51240536690999e-108	-1.32145527047105	0.943	0.996	1.22954213327261e-103
TMBIM4	4.33154333822693e-107	1.06680832190154	0.908	0.552	8.17795382257244e-103
EIF4B	2.93583270665518e-106	-1.00795225826084	0.805	0.977	5.54285215016499e-102
MUC1	3.6791355407466e-106	1.13171860088187	0.999	0.868	6.94620790092959e-102
ACTB	7.4764598660264e-105	1.08928688996024	0.997	0.902	1.41155562270578e-100
HSPE1	5.52698045802714e-104	0.974472462710901	0.982	0.826	1.04349391047552e-99
RPS13	1.47784302442774e-102	0.735559713903783	1	1	2.79016763011957e-98
TXNIP	1.09371453181502e-101	-1.69251495967135	0.85	0.979	2.06493303606676e-97
RPS25	1.5030955562654e-101	0.638513230669632	1	1	2.83784441022908e-97
SRSF6	3.0986680943297e-101	1.02607107815509	0.835	0.378	5.85028536209447e-97
CMPK1	7.97506306632305e-101	0.943732313620067	0.973	0.868	1.50569190692179e-96
TST	3.20617547434246e-100	0.98487444926684	0.949	0.692	6.05325929555857e-96
MDK	3.98416041836662e-100	1.30055567985112	0.942	0.718	7.52209486987618e-96
S100A4	3.15324119972993e-99	1.6914327035751	0.891	0.573	5.9533193850901e-95
P4HA1	5.56053601391374e-99	-1.45197330348864	0.41	0.822	1.04982919942691e-94
CAPS	1.91062060543824e-98	1.21427896573638	0.828	0.423	3.6072517030674e-94
PER1	2.44176041433485e-98	-1.30231260216344	0.087	0.488	4.61004366226419e-94
BACE2	5.02447633010722e-98	-1.04068800819117	0.778	0.981	9.48621131124244e-94
TMEM176B	1.03484173307077e-97	1.32605630931785	0.794	0.318	1.95378119203762e-93
S100A10	3.81400047752158e-96	-1.21725061256712	0.828	0.985	7.20083290156074e-92
BSG	3.32898818346588e-95	-0.970924178027008	0.881	0.996	6.28512969038358e-91
IGFBP2	8.17488750912999e-95	-1.39683572057386	0.629	0.96	1.54341876172374e-90
PRDX5	9.0918878669444e-95	0.74088783166642	1	0.996	1.7165484292791e-90
WASF2	9.63371563416216e-95	-1.05340433841912	0.456	0.839	1.81884551172982e-90
PLAC8	9.94324641737146e-94	1.17244298885813	0.896	0.597	1.87728492359973e-89
RPS3A	2.99165347549532e-93	0.613971548259807	1	1	5.64824176173516e-89
NDUFC2	2.78218053916103e-92	0.934459114872733	0.968	0.777	5.25275685793602e-88
RAMP1	1.41696642337192e-91	1.17217336219615	0.789	0.369	2.67523260732619e-87
MARCKS	9.35900329537465e-91	0.996272097956139	0.93	0.65	1.76697982216673e-86
AKR1C3	9.70075043248962e-91	0.945773815104297	0.991	0.879	1.83150168165404e-86
JUN	1.69763898281104e-90	1.05930730874489	0.995	0.87	3.20514239954724e-86
ANXA4	2.47411418164217e-90	1.00443151507158	0.931	0.609	4.67112757494042e-86
LAMTOR1	8.50184308250389e-90	0.947870903386043	0.865	0.541	1.60514797397673e-85
SRI	1.33656442469364e-89	0.954584957035461	0.978	0.864	2.52343363382159e-85
BPIFA2	1.93784037075315e-89	1.56787727416008	0.547	0.002	3.65864261998195e-85
NCOA7	2.54205864148835e-89	1.34647533321218	0.87	0.548	4.79940671513001e-85
GDF15	2.82055168465429e-89	1.14308941015119	0.962	0.749	5.3252015806273e-85
SH3BGRL3	1.05748771878759e-88	-1.20067454476581	0.813	0.994	1.99653681307097e-84
RPS27L	1.0897030103305e-88	0.804176545025969	0.995	0.917	2.05735928350399e-84
CTGF	4.74826254992347e-88	1.86281242153442	0.705	0.253	8.96471969425551e-84
LY6E	2.6520670913818e-87	1.16950607344214	0.943	0.809	5.00710266852884e-83
ARRDC4	5.33223453766005e-86	-0.779690621595478	0.068	0.431	1.00672588071022e-81
TFF2	5.89437780906871e-86	-2.44803517399947	0.964	1	1.11285853035217e-81
TAGLN2	1.13891317176538e-85	-1.03757093391033	0.927	0.994	2.15026806829304e-81
SOD1	1.19644117769113e-85	0.899472136965031	0.982	0.849	2.25888094348086e-81
RDH10	1.89981780901675e-85	1.02895645890021	0.623	0.098	3.58685602342363e-81
MT-CO2	4.9647989571915e-85	0.838798511386741	1	1	9.37354043117754e-81
FBP1	1.22987383644178e-84	1.05068587839023	0.832	0.486	2.32200180320208e-80
PLA2G16	3.37084927775338e-84	0.908125771609228	0.93	0.696	6.36416343639839e-80
SELENOH	6.44330152058316e-84	0.809876545615638	0.984	0.868	1.2164953270861e-79
RPL17	1.47583970618644e-83	-1.08883536292563	0.392	0.749	2.78638536527999e-79
KLF5	5.36865951735545e-83	0.950115337362982	0.934	0.705	1.01360291687671e-78
RPS21	2.27025257776523e-82	0.53956558953915	1	1	4.28623686682075e-78
CFL1	9.33020054483106e-82	0.778894525282157	0.999	0.972	1.7615418628641e-77
VMP1	1.33550583328122e-81	0.934558926657027	0.956	0.735	2.52143501323494e-77
F3	2.37225384124204e-81	1.18837515972197	0.601	0.098	4.47881525226497e-77
HLA-B	2.39623644096706e-81	-0.912392648412345	0.999	1	4.52409440054582e-77
GSTA4	3.03528663481566e-81	1.02849249400627	0.654	0.163	5.73062116653196e-77
ETS2	3.06463115418289e-81	1.03523826717378	0.803	0.412	5.7860236190973e-77
ADH1C	3.49089833059454e-81	1.28563196566437	0.532	0.021	6.5908160481625e-77
KCNK15	5.36660870089841e-80	1.19430520296867	0.559	0.055	1.01321572272962e-75
TALDO1	7.98476381198977e-80	0.808184286022955	0.981	0.877	1.50752340770367e-75
CRACR2B	7.13779192958798e-79	0.89530180771988	0.901	0.626	1.34761511630621e-74
TPM1	7.80600314380276e-79	0.921476864996096	0.957	0.745	1.47377339354996e-74
NUDT4	7.83124085118155e-79	1.06240046201379	0.784	0.393	1.47853827270308e-74
NQO1	1.56673520324593e-78	0.861687672627591	0.972	0.758	2.95799606372831e-74
SPCS2	1.70508804117022e-78	0.843350157970387	0.947	0.769	3.21920622172937e-74
SLIRP	1.85641511928629e-78	0.866842821054073	0.886	0.622	3.50491174521251e-74
C19orf70	4.12568113302665e-78	0.881170047034885	0.845	0.527	7.78928597915432e-74
CIRBP	1.80396624578701e-77	0.830402722320678	0.941	0.688	3.40588827204587e-73
TSC22D1	3.26746585989643e-77	0.975948833347347	0.976	0.851	6.16897554348445e-73
COMT	3.40671051238591e-77	0.868000149315537	0.839	0.501	6.4318694473846e-73
SELENBP1	3.53371017308915e-77	0.945169451506777	0.681	0.202	6.67164480679231e-73
MAP2K6	1.23126435347056e-76	0.98487444926684	0.589	0.096	2.32462709935242e-72
LGALS4	2.50570735396145e-76	1.20380173559979	0.899	0.707	4.73077548427922e-72
OGA	3.33493670206028e-76	-1.0294110219685	0.295	0.699	6.29636049348982e-72
C11orf58	3.38931014021867e-76	0.775220337261114	0.908	0.601	6.39901754473285e-72
SMAGP	1.17975386471151e-75	0.908494680348126	0.594	0.106	2.22737529657532e-71
DBI	4.99490486107194e-75	0.84731111338871	0.976	0.885	9.43038037770383e-71
UCP2	6.00223463429667e-75	1.04570685568615	0.738	0.35	1.13322189895521e-70
GPR160	1.65781484702136e-74	0.913040020732003	0.675	0.208	3.12995443117632e-70
PEBP1	3.65864285598615e-74	0.821515664125821	0.967	0.86	6.90751771210185e-70
KLF10	5.26569971190453e-74	-1.16416196694895	0.174	0.558	9.94164105607575e-70
SUN1	2.12597761909829e-73	-0.984438984501489	0.389	0.747	4.01384574485757e-69
PNN	3.05028324979903e-73	-0.866449454664544	0.559	0.879	5.75893477562057e-69
SRSF3	9.02703211982837e-73	0.793557442528754	0.945	0.76	1.7043036642236e-68
SCOC	2.29158576200041e-71	0.793864344659602	0.912	0.749	4.32651391865677e-67
PSAP	4.53612587506231e-71	-0.891850099518549	0.649	0.934	8.56420565211764e-67
COA4	3.36450445759372e-70	0.803778422068776	0.836	0.537	6.35218441593693e-66
SLC25A36	6.64192145837462e-70	-0.982280803272809	0.354	0.713	1.25399477134113e-65
SCG5	6.79163258439129e-70	-0.523269488508394	0.024	0.28	1.28226023193308e-65
PRDX2	7.24576884558811e-70	0.77136536954493	0.97	0.845	1.36800115804703e-65
COMMD7	9.64402796277357e-70	0.779363143953763	0.54	0.072	1.82079247937165e-65
ACTG1	1.92921472116279e-69	0.726307625515373	1	0.989	3.64235739355536e-65
DHRS3	1.9825742076517e-69	0.840001196806918	0.887	0.658	3.74310010404642e-65
CSNK2A1	2.24729275763488e-69	-0.980106236460111	0.398	0.745	4.24288872641465e-65
KCNE3	2.3313942561508e-69	0.898491712162848	0.535	0.074	4.4016723556127e-65
TMEM179B	4.12308813734093e-69	0.828765235209317	0.831	0.527	7.78439040329968e-65
NDUFC1	6.60801535620122e-69	0.769318680776302	0.965	0.864	1.24759329925079e-64
YIF1A	9.54374462674853e-69	0.82741349606201	0.894	0.673	1.80185898553012e-64
ATP5MPL	2.49472889557963e-68	0.711522014088835	0.961	0.875	4.71004815485434e-64
CD24	4.85834397276096e-68	0.708143812216699	0.998	1	9.17255342057269e-64
DEGS2	1.28496443451017e-67	0.897641818152473	0.617	0.17	2.4260128523552e-63
ASL	2.50833820895555e-67	0.828978521711385	0.569	0.104	4.73574253850808e-63
SRD5A3	5.71386898373449e-67	0.970117191351921	0.565	0.108	1.07877846412907e-62
LGALS3	1.54105516010304e-66	0.637854699951669	1	0.996	2.90951214227453e-62
ANAPC16	3.16828228348041e-66	0.73116366100035	0.909	0.699	5.98171695121102e-62
ARGLU1	3.34999704947705e-66	-1.07484791931353	0.877	0.951	6.32479442941267e-62
SLC40A1	7.75463212674933e-66	0.876790707550846	0.664	0.225	1.46407454553027e-61
EEF1A2	8.07118186398463e-66	-0.485558094632312	0.047	0.333	1.5238391359203e-61
TGM2	1.06926260422072e-65	0.867046153990447	0.471	0.028	2.01876779676873e-61
NR1D1	2.16888512094564e-65	-0.794095282086398	0.113	0.448	4.09485510834538e-61
AURKAIP1	4.57302171191144e-65	0.691407749755449	0.93	0.722	8.63386499208879e-61
NR2F6	4.65319980966174e-65	0.814002725224348	0.829	0.554	8.78524124064136e-61
PPIA	1.51447691990903e-64	0.582964728049355	1	1	2.85933242478825e-60
AKR1C2	2.23248510709497e-64	1.03348292349577	0.782	0.412	4.21493188219531e-60
EEF2	2.58062591403458e-64	-0.648728992788704	0.995	1	4.87222172569729e-60
