p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGFBP2	2.47498765752426e-207	-1.68675554979373	0.105	0.876	4.27653117343617e-203
LYZ	5.43778084626179e-184	-2.98981756475679	1	1	9.39594152425575e-180
PIGR	1.79202274925931e-169	-2.21414024259467	0.323	0.927	3.09643610844516e-165
SERPINA1	2.44095370492758e-163	-2.41567226034941	0.169	0.842	4.21772390674436e-159
RPS10	2.62126977542343e-156	-1.57030355371658	0.776	0.995	4.52929204495414e-152
ONECUT2	5.17828768216287e-150	-1.04572976404149	0.041	0.63	8.94756328600922e-146
RPS4Y1	4.56793636505877e-144	-1.4569894076448	0.29	0.894	7.89293724518505e-140
MT-CO3	4.56061360594932e-139	0.767266152828189	1	1	7.88028424971983e-135
RPS11	2.57837643203017e-137	1.14049233405003	1	0.995	4.45517663690493e-133
RPL35A	2.62877677351927e-134	1.02363086449808	1	1	4.54226338696394e-130
RPL13A	4.42929590269953e-125	1.16835277488658	1	0.997	7.65338039027453e-121
ATP5ME	6.79360239141832e-124	-1.28755326310188	0.727	0.982	1.17386655721317e-119
TMSB10	3.54750188032317e-121	-0.880572514823591	1	1	6.12972849901041e-117
SNHG25	3.02395698667349e-118	-0.663312782652189	0.024	0.487	5.22509527727313e-114
MT-ND3	3.83473668780972e-114	0.80417001812462	1	1	6.62604152286641e-110
MTRNR2L12	2.98606316638086e-110	1.38767841417656	0.725	0.021	5.1596185451895e-106
RPL39	3.65510919832884e-110	0.691960340841532	1	1	6.3156631837924e-106
NDUFA13	2.03192244044326e-106	-1.05564207458955	0.283	0.829	3.51095878484191e-102
RPL27A	6.30273562872223e-106	0.907470549366051	1	0.997	1.08904968928691e-101
EIF1AY	1.03950189027411e-105	-0.547269565068651	0.011	0.404	1.79615531620464e-101
SERF2	7.77154229907706e-102	-0.761480628440948	1	1	1.34284479385752e-97
POLR2L	2.48357625704283e-98	-1.18699596238111	0.525	0.92	4.2913714145443e-94
RPL36A	2.8157855104305e-97	-1.0627428744177	0.643	0.964	4.86539578347286e-93
MINOS1	3.45799501732198e-97	-1.05771084342833	0.475	0.912	5.97506959043064e-93
EEF1A1	4.27255510019315e-95	0.680347472241235	1	1	7.38254795762374e-91
NDUFC2	3.33688629619511e-94	-1.04092644203129	0.651	0.948	5.76580583119554e-90
GSTP1	1.52556219332825e-93	-0.880097414005757	0.999	1	2.63601891385188e-89
RPS20	6.82336212406429e-92	1.0264149320091	0.995	0.922	1.17900874141707e-87
MTRNR2L8	8.11090408641358e-92	1.16021343007656	0.63	0	1.4014831170914e-87
RPL37A	1.24003157941843e-91	0.731009772824231	1	1	2.14265056607711e-87
TSPAN8	1.35321240247537e-91	1.15048489834674	0.999	0.995	2.3382157102372e-87
GSTM4	3.94835064641647e-91	-0.952859359687146	0.149	0.648	6.82235508194302e-87
S100A4	1.09026468860278e-90	1.65509567161113	0.946	0.591	1.88386835543675e-86
RPL21	1.72182526019935e-90	0.949293793184062	0.999	0.992	2.97514186709845e-86
OLFM4	2.23078826676506e-90	-2.58671419124975	0.315	0.777	3.85457904614335e-86
