chr1p	0	123400000	1	p
chr1q	123400000	248956422	1	q
chr10p	0	39800000	10	p
chr10q	39800000	133797422	10	q
chr11p	0	53400000	11	p
chr11q	53400000	135086622	11	q
chr12p	0	35500000	12	p
chr12q	35500000	133275309	12	q
chr13p	0	17700000	13	p
chr13q	17700000	114364328	13	q
chr14p	0	17200000	14	p
chr14q	17200000	107043718	14	q
chr15p	0	19000000	15	p
chr15q	19000000	101991189	15	q
chr16p	0	36800000	16	p
chr16q	36800000	90338345	16	q
chr17p	0	25100000	17	p
chr17q	25100000	83257441	17	q
chr18p	0	18500000	18	p
chr18q	18500000	80373285	18	q
chr19p	0	26200000	19	p
chr19q	26200000	58617616	19	q
chr2p	0	93900000	2	p
chr2q	93900000	242193529	2	q
chr20p	0	28100000	20	p
chr20q	28100000	64444167	20	q
chr21p	0	12000000	21	p
chr21q	12000000	46709983	21	q
chr22p	0	15000000	22	p
chr22q	15000000	50818468	22	q
chr3p	0	90900000	3	p
chr3q	90900000	198295559	3	q
chr4p	0	50000000	4	p
chr4q	50000000	190214555	4	q
chr5p	0	48800000	5	p
chr5q	48800000	181538259	5	q
chr6p	0	59800000	6	p
chr6q	59800000	170805979	6	q
chr7p	0	60100000	7	p
chr7q	60100000	159345973	7	q
chr8p	0	45200000	8	p
chr8q	45200000	145138636	8	q
chr9p	0	43000000	9	p
chr9q	43000000	138394717	9	q
chrXp	0	61000000	X	p
chrXq	61000000	156040895	X	q
chrYp	0	10400000	Y	p
chrYq	10400000	57227415	Y	q
